Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0115","Barley","2020","2020","ha","86099","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0115","Barley","2020","2020","kg/ha","1483.8","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0115","Barley","2020","2020","t","127757","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0115","Barley","2021","2021","ha","40273","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0115","Barley","2021","2021","kg/ha","1616.5","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0115","Barley","2021","2021","t","65102","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","2020","2020","ha","140498","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2020","2020","kg/ha","1934.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0112","Maize (corn)","2020","2020","t","271776","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","2021","2021","ha","139080","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2021","2021","kg/ha","1900.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0112","Maize (corn)","2021","2021","t","264314","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0111","Wheat","2020","2020","ha","2668000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2020","2020","kg/ha","1943.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2020","2020","t","5185000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0111","Wheat","2021","2021","ha","2046564","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2021","2021","kg/ha","1963.1","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2021","2021","t","4017657","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2020","2020","ha","3771","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2020","2020","kg/ha","3353.2","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2020","2020","t","12645","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2021","2021","ha","5071","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2021","2021","kg/ha","3019.1","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2021","2021","t","15310","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0112","Maize (corn)","2020","2020","ha","56727","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0112","Maize (corn)","2020","2020","kg/ha","7035.9","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2020","2020","t","399125","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0112","Maize (corn)","2021","2021","ha","58288","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0112","Maize (corn)","2021","2021","kg/ha","7107.3","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2021","2021","t","414270.8","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0117","Oats","2020","2020","ha","15545","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0117","Oats","2020","2020","kg/ha","2288.8","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0117","Oats","2020","2020","t","35579","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0117","Oats","2021","2021","ha","15146","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0117","Oats","2021","2021","kg/ha","2184.2","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0117","Oats","2021","2021","t","33082","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0116","Rye","2020","2020","ha","1321","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0116","Rye","2020","2020","kg/ha","2455.7","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0116","Rye","2020","2020","t","3244","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0116","Rye","2021","2021","ha","1318","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0116","Rye","2021","2021","kg/ha","2498.5","A","Official figure",""
